 Day of  Day of Year Slurry  Slurry  Air    Wall  Floor  Slurry
 sim.     year        mass   depth    T      T      T      T
  434      69        2  1360.00    3.40   -0.43   -2.29   -0.75    2.69
  435      70        2  1364.00    3.41   -0.31   -2.26   -0.79    2.67
  436      71        2  1368.00    3.42   -0.19   -2.22   -0.84    2.66
  437      72        2  1372.00    3.43   -0.07   -2.17   -0.88    2.64
  438      73        2  1376.00    3.44    0.06   -2.13   -0.92    2.63
  439      74        2  1380.00    3.45    0.19   -2.08   -0.95    2.62
  440      75        2  1384.00    3.46    0.32   -2.03   -0.99    2.61
  441      76        2  1388.00    3.47    0.45   -1.98   -1.02    2.60
  442      77        2  1392.00    3.48    0.59   -1.92   -1.04    2.59
  443      78        2  1396.00    3.49    0.72   -1.86   -1.07    2.59
  444      79        2  1400.00    3.50    0.86   -1.80   -1.09    2.59
  445      80        2  1404.00    3.51    1.00   -1.73   -1.11    2.58
  446      81        2  1408.00    3.52    1.15   -1.66   -1.13    2.58
  447      82        2  1412.00    3.53    1.29   -1.59   -1.15    2.59
  448      83        2  1416.00    3.54    1.44   -1.52   -1.16    2.59
  449      84        2  1420.00    3.55    1.59   -1.44   -1.17    2.60
  450      85        2  1424.00    3.56    1.74   -1.36   -1.18    2.60
  451      86        2  1428.00    3.57    1.89   -1.28   -1.18    2.61
  452      87        2  1432.00    3.58    2.04   -1.20   -1.19    2.62
  453      88        2  1436.00    3.59    2.20   -1.11   -1.19    2.64
  454      89        2  1440.00    3.60    2.35   -1.02   -1.18    2.65
  455      90        2  1444.00    3.61    2.51   -0.93   -1.18    2.67
  456      91        2  1448.00    3.62    2.67   -0.84   -1.17    2.69
  457      92        2  1452.00    3.63    2.83   -0.74   -1.16    2.71
  458      93        2  1456.00    3.64    3.00   -0.64   -1.15    2.73
  459      94        2  1460.00    3.65    3.16   -0.54   -1.13    2.75
  460      95        2  1464.00    3.66    3.33   -0.44   -1.11    2.77
  461      96        2  1468.00    3.67    3.49   -0.33   -1.09    2.80
  462      97        2  1472.00    3.68    3.66   -0.22   -1.07    2.83
  463      98        2  1476.00    3.69    3.83   -0.11   -1.04    2.86
  464      99        2  1480.00    3.70    4.00    0.00   -1.02    2.89
  465     100        2  1484.00    3.71    4.17    0.12   -0.99    2.92
  466     101        2  1488.00    3.72    4.34    0.24   -0.95    2.96
  467     102        2  1492.00    3.73    4.51    0.36   -0.92    2.99
  468     103        2  1496.00    3.74    4.69    0.48   -0.88    3.03
  469     104        2  1500.00    3.75    4.86    0.60   -0.84    3.07
  470     105        2  1504.00    3.76    5.04    0.73   -0.79    3.11
  471     106        2  1508.00    3.77    5.21    0.86   -0.75    3.15
  472     107        2  1512.00    3.78    5.39    0.99   -0.70    3.20
  473     108        2  1516.00    3.79    5.57    1.12   -0.65    3.24
  474     109        2  1520.00    3.80    5.75    1.25   -0.60    3.29
  475     110        2  1524.00    3.81    5.92    1.39   -0.54    3.34
  476     111        2  1528.00    3.82    6.10    1.53   -0.48    3.39
  477     112        2  1532.00    3.83    6.28    1.67   -0.42    3.44
  478     113        2  1536.00    3.84    6.46    1.81   -0.36    3.49
  479     114        2  1540.00    3.85    6.64    1.95   -0.30    3.54
  480     115        2  1544.00    3.86    6.82    2.09   -0.23    3.60
  481     116        2  1548.00    3.87    7.00    2.24   -0.16    3.66
  482     117        2  1552.00    3.88    7.18    2.39   -0.09    3.72
  483     118        2  1556.00    3.89    7.36    2.54   -0.01    3.78
  484     119        2  1560.00    3.90    7.55    2.69    0.06    3.84
  485     120        2   104.00    0.26    7.73    2.84    0.14    4.53
  486     121        2   108.00    0.27    7.91    2.99    0.22    5.30
  487     122        2   112.00    0.28    8.09    3.15    0.30    5.91
  488     123        2   116.00    0.29    8.27    3.30    0.39    6.40
  489     124        2   120.00    0.30    8.45    3.46    0.48    6.81
  490     125        2   124.00    0.31    8.63    3.62    0.56    7.16
  491     126        2   128.00    0.32    8.81    3.78    0.66    7.45
  492     127        2   132.00    0.33    8.99    3.94    0.75    7.71
  493     128        2   136.00    0.34    9.16    4.10    0.84    7.94
  494     129        2   140.00    0.35    9.34    4.27    0.94    8.14
  495     130        2   144.00    0.36    9.52    4.43    1.04    8.33
  496     131        2   148.00    0.37    9.70    4.59    1.14    8.51
  497     132        2   152.00    0.38    9.87    4.76    1.24    8.67
  498     133        2   156.00    0.39   10.05    4.93    1.35    8.83
  499     134        2   160.00    0.40   10.22    5.09    1.46    8.98
  500     135        2   164.00    0.41   10.40    5.26    1.56    9.12
  501     136        2   168.00    0.42   10.57    5.43    1.67    9.26
  502     137        2   172.00    0.43   10.74    5.60    1.79    9.39
  503     138        2   176.00    0.44   10.92    5.77    1.90    9.53
  504     139        2   180.00    0.45   11.09    5.94    2.02    9.66
  505     140        2   184.00    0.46   11.26    6.11    2.13    9.78
  506     141        2   188.00    0.47   11.42    6.28    2.25    9.91
  507     142        2   192.00    0.48   11.59    6.45    2.37   10.03
  508     143        2   196.00    0.49   11.76    6.63    2.49   10.16
  509     144        2   200.00    0.50   11.92    6.80    2.62   10.28
  510     145        2   204.00    0.51   12.08    6.97    2.74   10.40
  511     146        2   208.00    0.52   12.25    7.14    2.87   10.52
  512     147        2   212.00    0.53   12.41    7.32    2.99   10.64
  513     148        2   216.00    0.54   12.57    7.49    3.12   10.76
  514     149        2   220.00    0.55   12.72    7.66    3.25   10.87
  515     150        2   224.00    0.56   12.88    7.83    3.38   10.99
  516     151        2   228.00    0.57   13.03    8.01    3.52   11.11
  517     152        2   232.00    0.58   13.19    8.18    3.65   11.22
  518     153        2   236.00    0.59   13.34    8.35    3.78   11.34
  519     154        2   240.00    0.60   13.49    8.52    3.92   11.45
  520     155        2   244.00    0.61   13.64    8.70    4.06   11.57
  521     156        2   248.00    0.62   13.78    8.87    4.19   11.68
  522     157        2   252.00    0.63   13.92    9.04    4.33   11.79
  523     158        2   256.00    0.64   14.07    9.21    4.47   11.91
  524     159        2   260.00    0.65   14.21    9.38    4.61   12.02
  525     160        2   264.00    0.66   14.34    9.55    4.76   12.13
  526     161        2   268.00    0.67   14.48    9.72    4.90   12.24
  527     162        2   272.00    0.68   14.61    9.89    5.04   12.35
  528     163        2   276.00    0.69   14.75   10.05    5.19   12.46
  529     164        2   280.00    0.70   14.88   10.22    5.33   12.57
  530     165        2   284.00    0.71   15.00   10.39    5.48   12.68
  531     166        2   288.00    0.72   15.13   10.55    5.62   12.78
  532     167        2   292.00    0.73   15.25   10.72    5.77   12.89
  533     168        2   296.00    0.74   15.37   10.88    5.91   13.00
  534     169        2   300.00    0.75   15.49   11.04    6.06   13.10
  535     170        2   304.00    0.76   15.61   11.20    6.21   13.21
  536     171        2   308.00    0.77   15.72   11.36    6.36   13.31
  537     172        2   312.00    0.78   15.83   11.52    6.51   13.41
  538     173        2   316.00    0.79   15.94   11.68    6.66   13.52
  539     174        2   320.00    0.80   16.05   11.84    6.81   13.62
  540     175        2   324.00    0.81   16.15   11.99    6.95   13.72
  541     176        2   328.00    0.82   16.25   12.15    7.10   13.82
  542     177        2   332.00    0.83   16.35   12.30    7.25   13.91
  543     178        2   336.00    0.84   16.45   12.45    7.40   14.01
  544     179        2   340.00    0.85   16.54   12.60    7.55   14.11
  545     180        2   344.00    0.86   16.63   12.75    7.70   14.20
  546     181        2   348.00    0.87   16.72   12.90    7.85   14.30
  547     182        2   352.00    0.88   16.80   13.04    8.00   14.39
  548     183        2   356.00    0.89   16.89   13.19    8.15   14.48
  549     184        2   360.00    0.90   16.97   13.33    8.30   14.57
  550     185        2   364.00    0.91   17.04   13.47    8.45   14.66
  551     186        2   368.00    0.92   17.12   13.61    8.60   14.75
  552     187        2   372.00    0.93   17.19   13.74    8.75   14.84
  553     188        2   376.00    0.94   17.26   13.88    8.90   14.93
  554     189        2   380.00    0.95   17.32   14.01    9.04   15.01
  555     190        2   384.00    0.96   17.38   14.14    9.19   15.10
  556     191        2   388.00    0.97   17.44   14.27    9.34   15.18
  557     192        2   392.00    0.98   17.50   14.40    9.48   15.26
  558     193        2   396.00    0.99   17.55   14.52    9.63   15.34
  559     194        2   400.00    1.00   17.60   14.65    9.77   15.42
  560     195        2   404.00    1.01   17.65   14.77    9.92   15.50
  561     196        2   408.00    1.02   17.70   14.89   10.06   15.58
  562     197        2   412.00    1.03   17.74   15.00   10.21   15.65
  563     198        2   416.00    1.04   17.78   15.12   10.35   15.72
  564     199        2   420.00    1.05   17.81   15.23   10.49   15.80
  565     200        2   424.00    1.06   17.84   15.34   10.63   15.87
  566     201        2   428.00    1.07   17.87   15.45   10.77   15.94
  567     202        2   432.00    1.08   17.90   15.55   10.91   16.01
  568     203        2   436.00    1.09   17.92   15.65   11.04   16.07
  569     204        2   440.00    1.10   17.94   15.75   11.18   16.14
  570     205        2   444.00    1.11   17.96   15.85   11.32   16.20
  571     206        2   448.00    1.12   17.98   15.95   11.45   16.26
  572     207        2   452.00    1.13   17.99   16.04   11.58   16.32
  573     208        2   456.00    1.14   17.99   16.13   11.71   16.38
  574     209        2   460.00    1.15   18.00   16.22   11.85   16.44
  575     210        2   464.00    1.16   18.00   16.30   11.97   16.50
  576     211        2   468.00    1.17   18.00   16.39   12.10   16.55
  577     212        2   472.00    1.18   17.99   16.47   12.23   16.61
  578     213        2   476.00    1.19   17.99   16.55   12.35   16.66
  579     214        2   480.00    1.20   17.98   16.62   12.48   16.71
  580     215        2   484.00    1.21   17.96   16.69   12.60   16.76
  581     216        2   488.00    1.22   17.94   16.76   12.72   16.80
  582     217        2   492.00    1.23   17.92   16.83   12.84   16.85
  583     218        2   496.00    1.24   17.90   16.89   12.96   16.89
  584     219        2   500.00    1.25   17.87   16.95   13.07   16.93
  585     220        2   504.00    1.26   17.84   17.01   13.19   16.97
  586     221        2   508.00    1.27   17.81   17.07   13.30   17.01
  587     222        2   512.00    1.28   17.78   17.12   13.41   17.05
  588     223        2   516.00    1.29   17.74   17.17   13.52   17.08
  589     224        2   520.00    1.30   17.70   17.22   13.63   17.11
  590     225        2   524.00    1.31   17.65   17.26   13.74   17.15
  591     226        2   528.00    1.32   17.60   17.30   13.84   17.18
  592     227        2   532.00    1.33   17.55   17.34   13.94   17.20
  593     228        2   536.00    1.34   17.50   17.38   14.04   17.23
  594     229        2   540.00    1.35   17.44   17.41   14.14   17.25
  595     230        2   544.00    1.36   17.38   17.44   14.24   17.28
  596     231        2   548.00    1.37   17.32   17.46   14.33   17.30
  597     232        2   552.00    1.38   17.26   17.49   14.42   17.32
  598     233        2   556.00    1.39   17.19   17.51   14.51   17.34
  599     234        2   560.00    1.40   17.12   17.53   14.60   17.35
  600     235        2   564.00    1.41   17.04   17.54   14.69   17.37
  601     236        2   568.00    1.42   16.97   17.55   14.77   17.38
  602     237        2   572.00    1.43   16.89   17.56   14.85   17.39
  603     238        2   576.00    1.44   16.80   17.57   14.93   17.40
  604     239        2   580.00    1.45   16.72   17.57   15.01   17.40
  605     240        2   584.00    1.46   16.63   17.57   15.08   17.41
  606     241        2   588.00    1.47   16.54   17.57   15.16   17.41
  607     242        2   592.00    1.48   16.45   17.56   15.23   17.41
  608     243        2   596.00    1.49   16.35   17.55   15.30   17.41
  609     244        2   600.00    1.50   16.25   17.54   15.36   17.41
  610     245        2   604.00    1.51   16.15   17.53   15.42   17.41
  611     246        2   608.00    1.52   16.05   17.51   15.49   17.40
  612     247        2   612.00    1.53   15.94   17.49   15.55   17.39
  613     248        2   616.00    1.54   15.83   17.46   15.60   17.38
  614     249        2   620.00    1.55   15.72   17.44   15.66   17.37
  615     250        2   624.00    1.56   15.61   17.41   15.71   17.36
  616     251        2   628.00    1.57   15.49   17.38   15.76   17.35
  617     252        2   632.00    1.58   15.37   17.34   15.80   17.33
  618     253        2   636.00    1.59   15.25   17.30   15.85   17.31
  619     254        2   640.00    1.60   15.13   17.26   15.89   17.29
  620     255        2   644.00    1.61   15.00   17.22   15.93   17.27
  621     256        2   648.00    1.62   14.88   17.17   15.97   17.25
  622     257        2   652.00    1.63   14.75   17.12   16.00   17.22
  623     258        2   656.00    1.64   14.61   17.07   16.03   17.19
  624     259        2   660.00    1.65   14.48   17.01   16.06   17.17
  625     260        2   664.00    1.66   14.34   16.95   16.09   17.14
  626     261        2   668.00    1.67   14.21   16.89   16.11   17.10
  627     262        2   672.00    1.68   14.07   16.83   16.14   17.07
  628     263        2   676.00    1.69   13.92   16.76   16.16   17.03
  629     264        2   680.00    1.70   13.78   16.69   16.17   17.00
  630     265        2   684.00    1.71   13.64   16.62   16.19   16.96
  631     266        2   688.00    1.72   13.49   16.55   16.20   16.92
  632     267        2   692.00    1.73   13.34   16.47   16.21   16.87
  633     268        2   696.00    1.74   13.19   16.39   16.21   16.83
  634     269        2   700.00    1.75   13.03   16.30   16.22   16.79
  635     270        2   704.00    1.76   12.88   16.22   16.22   16.74
  636     271        2   708.00    1.77   12.72   16.13   16.22   16.69
  637     272        2   712.00    1.78   12.57   16.04   16.21   16.64
  638     273        2   716.00    1.79   12.41   15.95   16.21   16.59
  639     274        2   720.00    1.80   12.25   15.85   16.20   16.53
  640     275        2   724.00    1.81   12.08   15.75   16.19   16.48
  641     276        2   728.00    1.82   11.92   15.65   16.17   16.42
  642     277        2   732.00    1.83   11.76   15.55   16.16   16.36
  643     278        2   736.00    1.84   11.59   15.45   16.14   16.30
  644     279        2   740.00    1.85   11.42   15.34   16.11   16.24
  645     280        2   744.00    1.86   11.26   15.23   16.09   16.18
  646     281        2   748.00    1.87   11.09   15.12   16.06   16.11
  647     282        2   752.00    1.88   10.92   15.00   16.03   16.05
  648     283        2   756.00    1.89   10.74   14.89   16.00   15.98
  649     284        2   760.00    1.90   10.57   14.77   15.97   15.91
  650     285        2   764.00    1.91   10.40   14.65   15.93   15.84
  651     286        2   768.00    1.92   10.22   14.52   15.89   15.77
  652     287        2   772.00    1.93   10.05   14.40   15.85   15.70
  653     288        2   776.00    1.94    9.87   14.27   15.80   15.62
  654     289        2   780.00    1.95    9.70   14.14   15.76   15.55
  655     290        2   784.00    1.96    9.52   14.01   15.71   15.47
  656     291        2   788.00    1.97    9.34   13.88   15.66   15.39
  657     292        2   792.00    1.98    9.16   13.74   15.60   15.31
  658     293        2   796.00    1.99    8.99   13.61   15.55   15.23
  659     294        2   800.00    2.00    8.81   13.47   15.49   15.15
  660     295        2   804.00    2.01    8.63   13.33   15.42   15.06
  661     296        2   808.00    2.02    8.45   13.19   15.36   14.98
  662     297        2   812.00    2.03    8.27   13.04   15.30   14.89
  663     298        2   816.00    2.04    8.09   12.90   15.23   14.81
  664     299        2   820.00    2.05    7.91   12.75   15.16   14.72
  665     300        2   824.00    2.06    7.73   12.60   15.08   14.63
  666     301        2   828.00    2.07    7.55   12.45   15.01   14.54
  667     302        2   832.00    2.08    7.36   12.30   14.93   14.45
  668     303        2   836.00    2.09    7.18   12.15   14.85   14.35
  669     304        2   840.00    2.10    7.00   11.99   14.77   14.26
  670     305        2   844.00    2.11    6.82   11.84   14.69   14.17
  671     306        2   848.00    2.12    6.64   11.68   14.60   14.07
  672     307        2   852.00    2.13    6.46   11.52   14.51   13.97
  673     308        2   856.00    2.14    6.28   11.36   14.42   13.87
  674     309        2   860.00    2.15    6.10   11.20   14.33   13.78
  675     310        2   864.00    2.16    5.92   11.04   14.24   13.68
  676     311        2   868.00    2.17    5.75   10.88   14.14   13.58
  677     312        2   872.00    2.18    5.57   10.72   14.04   13.47
  678     313        2   876.00    2.19    5.39   10.55   13.94   13.37
  679     314        2   880.00    2.20    5.21   10.39   13.84   13.27
  680     315        2   884.00    2.21    5.04   10.22   13.74   13.17
  681     316        2   888.00    2.22    4.86   10.05   13.63   13.06
  682     317        2   892.00    2.23    4.69    9.89   13.52   12.96
  683     318        2   896.00    2.24    4.51    9.72   13.41   12.85
  684     319        2   900.00    2.25    4.34    9.55   13.30   12.74
  685     320        2   904.00    2.26    4.17    9.38   13.19   12.64
  686     321        2   908.00    2.27    4.00    9.21   13.07   12.53
  687     322        2   912.00    2.28    3.83    9.04   12.96   12.42
  688     323        2   916.00    2.29    3.66    8.87   12.84   12.31
  689     324        2   920.00    2.30    3.49    8.70   12.72   12.20
  690     325        2   924.00    2.31    3.33    8.52   12.60   12.09
  691     326        2   928.00    2.32    3.16    8.35   12.48   11.98
  692     327        2   932.00    2.33    3.00    8.18   12.35   11.87
  693     328        2   936.00    2.34    2.83    8.01   12.23   11.76
  694     329        2   940.00    2.35    2.67    7.83   12.10   11.64
  695     330        2   944.00    2.36    2.51    7.66   11.97   11.53
  696     331        2   948.00    2.37    2.35    7.49   11.85   11.42
  697     332        2   952.00    2.38    2.20    7.32   11.71   11.30
  698     333        2   956.00    2.39    2.04    7.14   11.58   11.19
  699     334        2   960.00    2.40    1.89    6.97   11.45   11.08
  700     335        2   964.00    2.41    1.74    6.80   11.32   10.96
  701     336        2   968.00    2.42    1.59    6.63   11.18   10.85
  702     337        2   972.00    2.43    1.44    6.45   11.04   10.73
  703     338        2   976.00    2.44    1.29    6.28   10.91   10.62
  704     339        2   980.00    2.45    1.15    6.11   10.77   10.50
  705     340        2   984.00    2.46    1.00    5.94   10.63   10.39
  706     341        2   988.00    2.47    0.86    5.77   10.49   10.28
  707     342        2   992.00    2.48    0.72    5.60   10.35   10.16
  708     343        2   996.00    2.49    0.59    5.43   10.21   10.04
  709     344        2  1000.00    2.50    0.45    5.26   10.06    9.93
  710     345        2  1004.00    2.51    0.32    5.09    9.92    9.82
  711     346        2  1008.00    2.52    0.19    4.93    9.77    9.70
  712     347        2  1012.00    2.53    0.06    4.76    9.63    9.59
  713     348        2  1016.00    2.54   -0.07    4.59    9.48    9.47
  714     349        2  1020.00    2.55   -0.19    4.43    9.34    9.36
  715     350        2  1024.00    2.56   -0.31    4.27    9.19    9.24
  716     351        2  1028.00    2.57   -0.43    4.10    9.04    9.13
  717     352        2  1032.00    2.58   -0.55    3.94    8.90    9.02
  718     353        2  1036.00    2.59   -0.66    3.78    8.75    8.90
  719     354        2  1040.00    2.60   -0.78    3.62    8.60    8.79
  720     355        2  1044.00    2.61   -0.89    3.46    8.45    8.68
  721     356        2  1048.00    2.62   -0.99    3.30    8.30    8.56
  722     357        2  1052.00    2.63   -1.10    3.15    8.15    8.45
  723     358        2  1056.00    2.64   -1.20    2.99    8.00    8.34
  724     359        2  1060.00    2.65   -1.30    2.84    7.85    8.23
  725     360        2  1064.00    2.66   -1.40    2.69    7.70    8.12
  726     361        2  1068.00    2.67   -1.49    2.54    7.55    8.01
  727     362        2  1072.00    2.68   -1.59    2.39    7.40    7.90
  728     363        2  1076.00    2.69   -1.67    2.24    7.25    7.79
  729     364        2  1080.00    2.70   -1.76    2.09    7.10    7.68
  730     365        2  1084.00    2.71   -1.85    1.95    6.95    7.57
