 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
  200     200        1          -4189.         -4597.         -1191.            -0.          -536.           -11.        -10523.        -10621.     -37881400.     -37881400.
  201     201        1          -4324.         -5481.         -1426.            -0.          -642.            37.        -11836.        -11946.     -42608320.     -42608320.
  202     202        1          -2635.         -4369.         -1130.            -0.          -514.            72.         -8575.         -8655.     -30870950.     -30870950.
  203     203        1          -2466.          1324.           389.             0.           156.            76.          -520.          -525.      -1871358.      -1871358.
  204     204        1          -5320.           959.           292.             0.           114.            91.         -3864.         -3900.     -13912160.     -13912160.
  205     205        1          -4611.          2494.           702.             0.           297.            95.         -1023.         -1032.      -3681957.      -3681957.
  206     206        1          -4476.           903.           277.             0.           108.           107.         -3081.         -3109.     -11090851.     -11090851.
  207     207        1          -4577.           136.            72.             0.            16.           124.         -4228.         -4267.     -15222067.     -15222067.
  208     208        1          -4831.         -1818.          -449.            -0.          -219.           152.         -7165.         -7229.     -25792246.     -25792246.
  209     209        1          -4645.         -3345.          -857.            -0.          -404.           187.         -9064.         -9146.     -32629690.     -32629690.
  210     210        1          -2044.          -574.          -117.            -0.           -70.           198.         -2606.         -2629.      -9380657.      -9380657.
  211     211        1          -3395.           -32.            27.            -0.            -4.           211.         -3193.         -3222.     -11495057.     -11495057.
  212     212        1          -2635.          -407.           -73.            -0.           -50.           222.         -2942.         -2968.     -10590991.     -10590991.
  213     213        1          -3648.         -1267.          -302.            -0.          -156.           242.         -5131.         -5177.     -18472558.     -18472558.
  214     214        1          -4932.         -2402.          -605.            -0.          -296.           272.         -7963.         -8034.     -28667936.     -28667936.
  215     215        1          -3378.         -3336.          -854.            -0.          -413.           301.         -7680.         -7748.     -27648016.     -27648016.
  216     216        1          -3665.         -1653.          -405.            -0.          -205.           323.         -5605.         -5654.     -20177484.     -20177484.
  217     217        1          -3986.            10.            39.             0.             1.           337.         -3599.         -3631.     -12956863.     -12956863.
  218     218        1          -3783.           345.           128.             0.            43.           348.         -2919.         -2944.     -10507410.     -10507410.
  219     219        1          -3057.         -3737.          -961.            -0.          -469.           377.         -7848.         -7916.     -28252990.     -28252990.
  220     220        1          -4679.         -5645.         -1470.            -0.          -712.           422.        -12083.        -12188.     -43498744.     -43498744.
  221     221        1          -4729.         -6523.         -1705.            -0.          -825.           472.        -13311.        -13426.     -47919352.     -47919352.
  222     222        1          -4695.         -1983.          -493.            -0.          -252.           499.         -6925.         -6985.     -24931500.     -24931500.
  223     223        1          -5016.           593.           194.             0.            76.           513.         -3641.         -3672.     -13108177.     -13108177.
  224     224        1          -4780.          1528.           444.             0.           196.           521.         -2092.         -2110.      -7529881.      -7529881.
  225     225        1          -4223.         -2763.          -701.            -0.          -355.           548.         -7494.         -7558.     -26977932.     -26977932.
  226     226        1          -4003.         -2090.          -522.            -0.          -269.           571.         -6313.         -6366.     -22725028.     -22725028.
  227     227        1          -3885.         -3731.          -960.            -0.          -483.           602.         -8456.         -8528.     -30442894.     -30442894.
  228     228        1          -4560.         -5244.         -1363.            -0.          -681.           642.        -11206.        -11301.     -40342600.     -40342600.
  229     229        1          -4425.         -3533.          -907.            -0.          -460.           674.         -8651.         -8723.     -31141808.     -31141808.
  230     230        1          -3969.         -3052.          -778.            -0.          -399.           702.         -7496.         -7559.     -26985608.     -26985608.
  231     231        1          -3598.         -3870.          -997.            -0.          -468.             0.         -8933.         -8996.     -32157148.     -32157148.
  232     232        1          -4290.         -3860.          -994.            -0.          -429.             0.         -9574.         -9648.     -34465368.     -34465368.
  233     233        1          -3006.         -2258.          -567.            -0.          -229.             0.         -6061.         -6111.     -21818122.     -21818122.
  234     234        1          -2686.         -2577.          -652.            -0.          -237.             0.         -6151.         -6208.     -22143898.     -22143898.
  235     235        1          -2331.         -3283.          -840.            -0.          -269.             0.         -6723.         -6792.     -24204142.     -24204142.
  236     236        1          -2787.          -876.          -198.            -0.           -63.             0.         -3924.         -3969.     -14126428.     -14126428.
  237     237        1          -2196.          1565.           454.             0.            98.             0.           -80.           -81.       -287094.       -287094.
  238     238        1          -3834.          4262.          1173.             0.           225.             0.          1826.          1855.       6573360.       6573360.
  239     239        1          -3192.          4372.          1203.             0.           234.          1269.          3885.          3970.      13986469.      13986469.
  240     240        1          -3125.          4871.          1336.             0.           264.          1210.          4556.          4654.      16401635.      16401635.
  241     241        1          -2246.          5043.          1382.             0.           277.          1138.          5593.          5711.      20134604.      20134604.
  242     242        1          -1167.          4597.          1263.             0.           255.          1061.          6009.          6135.      21633960.      21633960.
  243     243        1          -1976.          3198.           889.             0.           180.          1018.          3309.          3377.      11912547.      11912547.
  244     244        1          -2348.          5994.          1635.             0.           341.           938.          6561.          6695.      23618562.      23618562.
  245     245        1          -3631.          3311.           920.             0.           191.           915.          1705.          1739.       6137462.       6137462.
  246     246        1          -1841.          5113.          1400.             0.           298.           846.          5817.          5933.      20939942.      20939942.
  247     247        1          -1118.           816.           254.             0.            48.           938.           938.           924.       3376069.       3376069.
  248     248        1          -1567.          1154.           344.             0.            69.           956.           956.           953.       3441887.       3441887.
  249     249        1          -3142.          2352.           664.             0.           142.           945.           962.           981.       3463788.       3463788.
  250     250        1          -2990.          4010.          1106.             0.           245.           908.          3280.          3342.      11807986.      11807986.
  251     251        1          -3513.          4448.          1223.             0.           275.           870.          3303.          3365.      11890308.      11890308.
  252     252        1          -2044.          2473.           696.             0.           155.           846.          2126.          2166.       7654664.       7654664.
  253     253        1          -1083.          3501.           970.             0.           222.           797.          4407.          4488.      15865944.      15865944.
  254     254        1          -3530.          5934.          1619.             0.           380.           741.          5144.          5237.      18516804.      18516804.
  255     255        1          -2905.          5426.          1484.             0.           351.           685.          5041.          5132.      18146766.      18146766.
  256     256        1           -665.          3010.           839.             0.           197.           641.          4021.          4093.      14477387.      14477387.
  257     257        1          -3158.          3276.           910.             0.           216.           620.          1864.          1897.       6710504.       6710504.
  258     258        1          -1373.          1425.           416.             0.            95.           608.          1171.          1191.       4215035.       4215035.
