 Day of  Day of Year 
 sim.     year               Qrad         Qslur2air     Qslur2floor      Qslur2dwall      Qslur2uwall           Qfeed       Qout       Qoutave     HH   HHadj
  133     133        1          -2584.         -4966.           374.           191.            -0.         -3966.        -10951.        -11292.     -39424632.     -39424632.
  134     134        1          -1446.         -2411.           427.           205.            -0.         -3759.         -6984.         -7195.     -25141000.     -25141000.
  135     135        1           -864.          -557.           462.           216.            -0.         -3632.         -4375.         -4504.     -15751267.     -15751267.
  136     136        1          -1018.         -1093.           498.           226.            -0.         -3499.         -4886.         -5026.     -17591276.     -17591276.
  137     137        1          -1070.          -979.           530.           236.            -0.         -3374.         -4657.         -4787.     -16763507.     -16763507.
  138     138        1          -2122.         -1153.           568.           247.            -0.         -3227.         -5688.         -5843.     -20477384.     -20477384.
  139     139        1          -2251.         -1529.           608.           259.            -0.         -3076.         -5988.         -6147.     -21557072.     -21557072.
  140     140        1          -2559.         -1394.           648.           272.            -0.         -2928.         -5961.         -6116.     -21460018.     -21460018.
  141     141        1          -1617.             7.           675.           282.             0.         -2842.         -3495.         -3583.     -12580369.     -12580369.
  142     142        1          -2165.          -551.           704.           292.            -0.         -2738.         -4457.         -4567.     -16045175.     -16045175.
  143     143        1           -890.           176.           474.           240.             0.         -3703.         -3703.         -3613.     -13329047.     -13329047.
  144     144        1          -1035.           -69.           497.           249.            -0.         -3617.         -3975.         -4069.     -14311039.     -14311039.
  145     145        1          -1797.         -1544.           533.           260.            -0.         -3486.         -6035.         -6175.     -21725176.     -21725176.
  146     146        1           -306.          -400.           461.           245.            -0.         -5095.         -5095.         -5061.     -18341328.     -18341328.
  147     147        1           -370.           -28.           216.           182.            -0.         -6488.         -6488.         -6377.     -23356086.     -23356086.
  148     148        1          -2713.         -2332.           272.           198.            -0.         -6207.        -10782.        -11047.     -38816580.     -38816580.
  149     149        1          -3055.         -2546.           328.           214.            -0.         -5918.        -10976.        -11239.     -39513864.     -39513864.
  150     150        1          -3029.         -3121.           383.           231.            -0.         -5631.        -11167.        -11428.     -40201952.     -40201952.
  151     151        1          -1583.         -2961.           429.           245.            -0.         -5397.         -9267.         -9478.     -33360890.     -33360890.
  152     152        1          -2730.         -2492.           475.           260.            -0.         -5161.         -9647.         -9862.     -34730716.     -34730716.
  153     153        1          -2268.         -3311.           519.           275.            -0.         -4929.         -9714.         -9925.     -34969980.     -34969980.
  154     154        1          -2738.         -3409.           564.           289.            -0.         -4696.         -9992.        -10204.     -35969948.     -35969948.
  155     155        1          -2661.         -3515.           606.           303.            -0.         -4474.         -9742.         -9944.     -35069876.     -35069876.
  156     156        1          -2927.         -4434.           649.           317.            -0.         -4238.        -10633.        -10849.     -38278632.     -38278632.
  157     157        1          -2610.         -4692.           688.           328.            -0.         -4013.        -10299.        -10504.     -37076152.     -37076152.
  158     158        1          -2062.         -4707.           722.           340.            -0.         -3809.         -9517.         -9702.     -34259584.     -34259584.
  159     159        1          -1403.         -3723.           749.           351.            -0.         -3648.         -7673.         -7820.     -27623414.     -27623414.
  160     160        1          -1883.         -3562.           776.           360.            -3.         -3488.         -7800.         -7946.     -28079876.     -28079876.
  161     161        1          -2850.         -4006.           805.           365.           -14.         -3308.         -9007.         -9173.     -32426216.     -32426216.
  162     162        1          -2482.         -4401.           834.           370.           -27.         -3134.         -8841.         -9001.     -31828406.     -31828406.
  163     163        1          -1267.         -2424.           852.           372.           -21.         -3026.         -5513.         -5611.     -19847090.     -19847090.
  164     164        1          -2995.         -1928.           873.           376.           -22.         -2902.         -6598.         -6713.     -23754416.     -23754416.
  165     165        1          -1917.         -2114.           891.           378.           -30.         -2797.         -5589.         -5684.     -20119602.     -20119602.
  166     166        1             -0.         -1205.           804.           341.           -20.         -3274.         -3354.         -3315.     -12073098.     -12073098.
  167     167        1          -2833.         -3829.           830.           345.           -75.         -3125.         -8687.         -8830.     -31272046.     -31272046.
  168     168        1           -514.         -2788.           846.           344.           -62.         -3031.         -5204.         -5289.     -18735514.     -18735514.
  169     169        1           -806.         -1148.           859.           341.           -28.         -2965.         -3748.         -3808.     -13493647.     -13493647.
  170     170        1          -2833.         -3271.           880.           342.           -90.         -2835.         -7807.         -7930.     -28106800.     -28106800.
  171     171        1          -2961.         -4628.           898.           341.          -130.          -675.         -7156.         -7225.     -25761078.     -25761078.
  172     172        1          -2773.         -4651.           916.           337.          -134.          -646.         -6951.         -7018.     -25022324.     -25022324.
  173     173        1          -2978.         -3910.           932.           333.          -115.          -619.         -6357.         -6418.     -22886408.     -22886408.
  174     174        1          -2961.         -2974.           945.           328.           -90.          -597.         -5348.         -5399.     -19251824.     -19251824.
  175     175        1          -2850.         -3678.           959.           326.          -113.          -572.         -5929.         -5986.     -21344596.     -21344596.
  176     176        1          -2927.         -5341.           977.           324.          -168.          -541.         -7676.         -7749.     -27633114.     -27633114.
  177     177        1          -2927.         -5765.           996.           321.          -185.          -508.         -8067.         -8144.     -29042694.     -29042694.
  178     178        1          -2961.         -5472.          1015.           317.          -179.          -476.         -7756.         -7829.     -27920526.     -27920526.
  179     179        1          -2661.         -5441.          1033.           314.          -182.          -446.         -7384.         -7453.     -26582044.     -26582044.
  180     180        1          -2148.         -5111.          1047.           308.          -174.          -420.         -6498.         -6559.     -23392178.     -23392178.
  181     181        1          -1866.         -3568.          1056.           301.          -124.          -401.         -4601.         -4643.     -16561872.     -16561872.
  182     182        1          -1506.         -1385.          1060.           292.           -49.          -392.         -1980.         -1998.      -7127525.      -7127525.
  183     183        1          -1934.         -1409.          1064.           284.           -51.          -383.         -2430.         -2452.      -8746728.      -8746728.
  184     184        1          -1823.         -1283.          1066.           276.           -47.          -374.         -2184.         -2204.      -7863424.      -7863424.
  185     185        1          -2756.         -1199.          1074.           270.           -45.          -362.         -3018.         -3045.     -10863146.     -10863146.
  186     186        1          -1181.          -267.          1076.           262.           -10.          -360.          -480.          -484.      -1726457.      -1726457.
  187     187        1           -657.          -763.          1066.           252.           -30.          -372.          -503.          -500.      -1810377.      -1810377.
